x,W,c,g,p,q,Fs,Mb,Fs_nomoon,Mb_nomoon
81.490000,0.750000,2.500000,3.250000,3.126315,-0.123685,-15.509093,994.169482,-16.310129,988.235166
81.538333,0.750000,2.500000,3.250000,3.125816,-0.124184,-15.515083,993.419731,-16.317761,987.446659
81.586667,0.750000,2.500000,3.250000,3.125316,-0.124684,-15.521097,992.669690,-16.325419,986.657782
81.635000,0.750000,2.500000,3.250000,3.124816,-0.125184,-15.527136,991.919358,-16.333102,985.868535
81.683333,0.750000,2.500000,3.250000,3.124316,-0.125684,-15.533198,991.168733,-16.340811,985.078915
81.731667,0.750000,2.500000,3.250000,3.123816,-0.126184,-15.539285,990.417815,-16.348545,984.288922
81.780000,0.750000,2.500000,3.250000,3.123317,-0.126683,-15.545396,989.666602,-16.356305,983.498555
81.828333,0.750000,2.500000,3.250000,3.122817,-0.127183,-15.551531,988.915093,-16.364090,982.707812
81.876667,0.750000,2.500000,3.250000,3.122317,-0.127683,-15.557690,988.163287,-16.371901,981.916692
81.925000,0.750000,2.500000,3.250000,3.121817,-0.128183,-15.563874,987.411182,-16.379738,981.125194
81.973333,0.750000,2.500000,3.250000,3.121318,-0.128682,-15.570081,986.658778,-16.387600,980.333317
82.021667,0.750000,2.500000,3.250000,3.120818,-0.129182,-15.576313,985.906074,-16.395487,979.541059
82.070000,0.750000,2.500000,3.250000,3.120318,-0.129682,-15.582569,985.153067,-16.403400,978.748419
82.118333,0.750000,2.500000,3.250000,3.119818,-0.130182,-15.588849,984.399758,-16.411339,977.955397
82.166667,0.750000,2.500000,3.250000,3.119319,-0.130681,-15.595153,983.646145,-16.419303,977.161989
82.215000,0.750000,2.500000,3.250000,3.118819,-0.131181,-15.601482,982.892226,-16.427293,976.368197
82.263333,0.750000,2.500000,3.250000,3.118319,-0.131681,-15.607834,982.138001,-16.435308,975.574017
82.311667,0.750000,2.500000,3.250000,3.117819,-0.132181,-15.614211,981.383468,-16.443349,974.779450
82.360000,0.750000,2.500000,3.250000,3.117319,-0.132681,-15.620611,980.628627,-16.451415,973.984493
82.408333,0.750000,2.500000,3.250000,3.116820,-0.133180,-15.627036,979.873475,-16.459507,973.189145
82.456667,0.750000,2.500000,3.250000,3.116320,-0.133680,-15.633486,979.118012,-16.467624,972.393406
82.505000,0.750000,2.500000,3.250000,3.115820,-0.134180,-15.639959,978.362238,-16.475767,971.597275
82.553333,0.750000,2.500000,3.250000,3.115320,-0.134680,-15.646456,977.606149,-16.483936,970.800748
82.601667,0.750000,2.500000,3.250000,3.114821,-0.135179,-15.652978,976.849746,-16.492130,970.003827
82.650000,0.750000,2.500000,3.250000,3.114321,-0.135679,-15.659524,976.093027,-16.500349,969.206509
82.698333,0.750000,2.500000,3.250000,3.113821,-0.136179,-15.666094,975.335992,-16.508594,968.408792
82.746667,0.750000,2.500000,3.250000,3.113321,-0.136679,-15.672688,974.578638,-16.516865,967.610677
